  x,y,z,rho,u,v,w,p
    -0.763236,      0.370198,      0.000000,      0.710307,    142.798019,    294.559570,      0.000000,  50513.871094
    -0.755824,      0.385107,      0.000000,      0.710004,    148.560745,    291.749634,      0.000000,  50493.984375
    -0.748114,      0.399877,      0.000000,      0.709711,    154.276917,    288.814819,      0.000000,  50475.085938
    -0.740121,      0.414488,      0.000000,      0.709435,    159.939789,    285.755188,      0.000000,  50457.835938
    -0.731838,      0.428941,      0.000000,      0.709181,    165.542694,    282.571198,      0.000000,  50442.773438
    -0.723272,      0.443224,      0.000000,      0.708954,    171.078003,    279.265381,      0.000000,  50430.394531
    -0.714430,      0.457338,      0.000000,      0.708756,    176.540161,    275.841431,      0.000000,  50420.878906
    -0.705319,      0.471280,      0.000000,      0.708584,    181.926132,    272.304535,      0.000000,  50413.949219
    -0.695925,      0.485034,      0.000000,      0.708433,    187.234665,    268.659180,      0.000000,  50408.972656
    -0.686268,      0.498607,      0.000000,      0.708294,    192.464645,    264.909607,      0.000000,  50405.246094
    -0.676350,      0.511979,      0.000000,      0.708163,    197.616898,    261.057251,      0.000000,  50402.246094
    -0.666163,      0.525165,      0.000000,      0.708036,    202.689911,    257.104919,      0.000000,  50399.632812
    -0.655727,      0.538136,      0.000000,      0.707911,    207.682053,    253.054855,      0.000000,  50397.222656
    -0.645031,      0.550913,      0.000000,      0.707787,    212.592087,    248.909256,      0.000000,  50394.824219
    -0.634096,      0.563467,      0.000000,      0.707661,    217.418869,    244.670395,      0.000000,  50392.265625
    -0.622909,      0.575810,      0.000000,      0.707531,    222.163086,    240.339020,      0.000000,  50389.277344
    -0.611480,      0.587930,      0.000000,      0.707396,    226.822342,    235.918015,      0.000000,  50385.734375
    -0.599826,      0.599826,      0.000000,      0.707254,    231.395767,    231.408127,      0.000000,  50381.519531
    -0.587930,      0.611480,      0.000000,      0.707106,    235.882568,    226.808716,      0.000000,  50376.691406
    -0.575810,      0.622909,      0.000000,      0.706955,    240.279602,    222.121597,      0.000000,  50371.523438
    -0.563467,      0.634096,      0.000000,      0.706803,    244.582489,    217.350098,      0.000000,  50366.214844
    -0.550913,      0.645031,      0.000000,      0.706651,    248.790054,    212.495178,      0.000000,  50360.921875
    -0.538136,      0.655727,      0.000000,      0.706499,    252.900513,    207.560425,      0.000000,  50355.597656
    -0.525165,      0.666163,      0.000000,      0.706345,    256.913239,    202.548218,      0.000000,  50350.066406
    -0.511979,      0.676350,      0.000000,      0.706185,    260.828491,    197.461288,      0.000000,  50343.937500
    -0.498607,      0.686268,      0.000000,      0.706017,    264.645935,    192.301682,      0.000000,  50336.933594
    -0.485034,      0.695925,      0.000000,      0.705837,    268.366577,    187.070221,      0.000000,  50328.710938
    -0.471280,      0.705319,      0.000000,      0.705642,    271.988953,    181.770004,      0.000000,  50319.046875
    -0.457338,      0.714430,      0.000000,      0.705432,    275.512085,    176.402939,      0.000000,  50307.816406
    -0.443224,      0.723272,      0.000000,      0.705205,    278.935547,    170.971466,      0.000000,  50294.914062
    -0.428941,      0.731838,      0.000000,      0.704959,    282.259613,    165.477951,      0.000000,  50280.023438
    -0.414488,      0.740121,      0.000000,      0.704688,    285.485199,    159.924973,      0.000000,  50262.695312
    -0.399877,      0.748114,      0.000000,      0.704388,    288.613129,    154.313583,      0.000000,  50242.480469
    -0.385107,      0.755824,      0.000000,      0.704057,    291.642395,    148.645691,      0.000000,  50219.148438
    -0.370198,      0.763236,      0.000000,      0.703695,    294.571106,    142.923538,      0.000000,  50192.683594
    -0.355141,      0.770352,      0.000000,      0.703302,    297.398499,    137.148926,      0.000000,  50163.171875
    -0.339947,      0.777180,      0.000000,      0.702878,    300.123871,    131.327057,      0.000000,  50130.453125
    -0.324623,      0.783702,      0.000000,      0.702416,    302.749023,    125.461983,      0.000000,  50094.003906
    -0.309174,      0.789925,      0.000000,      0.701909,    305.277344,    119.555176,      0.000000,  50053.003906
    -0.293601,      0.795842,      0.000000,      0.701347,    307.711914,    113.609474,      0.000000,  50006.507812
    -0.277918,      0.801453,      0.000000,      0.700722,    310.055542,    107.627457,      0.000000,  49953.660156
    -0.262130,      0.806763,      0.000000,      0.700024,    312.311371,    101.610878,      0.000000,  49893.546875
    -0.246242,      0.811748,      0.000000,      0.699244,    314.482513,     95.560104,      0.000000,  49825.332031
    -0.230254,      0.816426,      0.000000,      0.698377,    316.570923,     89.476334,      0.000000,  49748.359375
    -0.214180,      0.820792,      0.000000,      0.697415,    318.577850,     83.363274,      0.000000,  49662.015625
    -0.198030,      0.824841,      0.000000,      0.696354,    320.504608,     77.221695,      0.000000,  49565.792969
    -0.181796,      0.828566,      0.000000,      0.695190,    322.351440,     71.052681,      0.000000,  49459.339844
    -0.165489,      0.831979,      0.000000,      0.693924,    324.115356,     64.861443,      0.000000,  49342.738281
    -0.149127,      0.835065,      0.000000,      0.692562,    325.790924,     58.651901,      0.000000,  49216.605469
    -0.132700,      0.837832,      0.000000,      0.691119,    327.368195,     52.429932,      0.000000,  49082.359375
    -0.116224,      0.840280,      0.000000,      0.689621,    328.829895,     46.207165,      0.000000,  48942.621094
    -0.099705,      0.842393,      0.000000,      0.688116,    330.147034,     39.999084,      0.000000,  48802.117188
    -0.083143,      0.844192,      0.000000,      0.686684,    331.273376,     33.833557,      0.000000,  48668.664062
    -0.066557,      0.845659,      0.000000,      0.685453,    332.138428,     27.757631,      0.000000,  48554.667969
    -0.049941,      0.846804,      0.000000,      0.684614,    332.642487,     21.851423,      0.000000,  48478.902344
    -0.033305,      0.847620,      0.000000,      0.684435,    332.659210,     16.249899,      0.000000,  48467.542969
    -0.016656,      0.848116,      0.000000,      0.685231,    332.059265,     11.138957,      0.000000,  48551.804688
     0.000000,      0.848276,      0.000000,      0.687295,    330.773438,      6.684688,      0.000000,  48761.121094
     0.017670,      0.848446,      0.000000,      0.690722,    328.895355,      3.090520,      0.000000,  49105.546875
     0.037110,      0.848636,      0.000000,      0.695234,    326.732758,      0.613485,      0.000000,  49557.882812
     0.058490,      0.848846,      0.000000,      0.700173,    324.715424,     -0.660412,      0.000000,  50053.171875
     0.082010,      0.849086,      0.000000,      0.704690,    323.222137,     -0.912930,      0.000000,  50506.039062
     0.107880,      0.849336,      0.000000,      0.708039,    322.454620,     -0.483441,      0.000000,  50839.714844
     0.136340,      0.849616,      0.000000,      0.709829,    322.419189,      0.279682,      0.000000,  51011.066406
     0.167640,      0.849926,      0.000000,      0.710133,    323.000763,      1.105420,      0.000000,  51018.851562
     0.202080,      0.850256,      0.000000,      0.709466,    324.080872,      1.805166,      0.000000,  50899.078125
     0.239950,      0.850636,      0.000000,      0.708679,    325.589050,      2.246080,      0.000000,  50718.773438
     0.281620,      0.851036,      0.000000,      0.708277,    326.747498,      2.433434,      0.000000,  50590.003906
    -0.855172,     -0.239970,      0.000000,      0.751908,      0.179142,    310.144257,      0.000000,  54431.085938
    -0.855172,     -0.202090,      0.000000,      0.752118,      0.272672,    310.108856,      0.000000,  54452.433594
    -0.855172,     -0.167650,      0.000000,      0.752483,      0.430480,    310.048615,      0.000000,  54489.421875
    -0.855172,     -0.136340,      0.000000,      0.752915,      0.638887,    309.989563,      0.000000,  54533.226562
    -0.855172,     -0.107880,      0.000000,      0.753336,      0.931594,    309.968628,      0.000000,  54576.007812
    -0.855172,     -0.082010,      0.000000,      0.753645,      1.354049,    310.033691,      0.000000,  54607.507812
    -0.855172,     -0.058490,      0.000000,      0.753704,      1.964552,    310.245117,      0.000000,  54613.847656
    -0.855172,     -0.037110,      0.000000,      0.753339,      2.837924,    310.671478,      0.000000,  54577.398438
    -0.855172,     -0.017670,      0.000000,      0.752353,      4.072775,    311.380676,      0.000000,  54478.460938
    -0.855172,      0.000000,      0.000000,      0.750562,      5.825397,    312.426575,      0.000000,  54298.914062
    -0.855011,      0.016791,      0.000000,      0.747845,      8.320263,    313.816010,      0.000000,  54027.558594
    -0.854511,      0.033576,      0.000000,      0.744217,     11.742661,    315.464081,      0.000000,  53666.804688
    -0.853689,      0.050347,      0.000000,      0.739885,     16.155521,    317.194672,      0.000000,  53238.234375
    -0.852534,      0.067098,      0.000000,      0.735226,     21.502279,    318.786774,      0.000000,  52780.183594
    -0.851055,      0.083820,      0.000000,      0.730692,     27.620691,    320.034607,      0.000000,  52337.437500
    -0.849242,      0.100516,      0.000000,      0.726680,     34.284821,    320.797485,      0.000000,  51948.921875
    -0.847111,      0.117169,      0.000000,      0.723442,     41.261612,    321.020569,      0.000000,  51638.847656
    -0.844644,      0.133779,      0.000000,      0.721056,     48.353489,    320.725494,      0.000000,  51414.226562
    -0.841855,      0.150339,      0.000000,      0.719457,     55.414845,    319.983459,      0.000000,  51268.132812
    -0.838743,      0.166834,      0.000000,      0.718499,     62.357285,    318.884644,      0.000000,  51185.414062
    -0.835302,      0.183273,      0.000000,      0.718003,     69.135506,    317.517456,      0.000000,  51148.355469
    -0.831547,      0.199640,      0.000000,      0.717806,     75.733879,    315.955475,      0.000000,  51140.570312
